Batman vs Superman	batman vs superman
but if the actors are good and the movie reviews are good then I might be interested	but agar actor acche hai aur movie reviews acche hai to main interested ho sakta hu
sure	sure
The Blind Side is a 2009 American biographical sports drama film written and directed by John Lee Hancock, based on the Book The Blind Side: Evolution of a Game by Michael Lewis. The storyline features Michael Oher, an offensive lineman who was drafted by the Baltimore Ravens of the NFL. The film follows Oher from his impoverished upbringing, through his years at Wingate Christian School, his adoption by Sean and Leigh Anne Tuohy, to his position as one of the most highly coveted prospects in college football, then finally becoming first-round pick of the Ravens. It stars Quinton Aaron as Big Mike, Sandra Bullock as Leigh Anne Tuohy, Tim Mcgraw as Sean Tuhoy.	Blind Side is 2009 ki American Biographical sports drama film hai jise John Lee Hancock ne write aur direct kiya hai joki Michael Lewis ki Book The Blind Side: Evolution of a Game pe based hai. Story me Micheal Oher ek offensive lineman hai jo NFL me Baltimore Raven se draft ho jata hai. Film me Oher ki gareeb upbringing aur uske Wingate Christian School k saal, uska Sean aur Leigh Anne Tuohy se adoption se college football me sabse coveted prospect ki journey aur phir finally Raven ki first round pick banna hai. Usme Quinton Aaron as Big Mike,Sandra Bullock as Leigh Anne Tuohy, Tim Mcgraw as Sean Tuhoy hai.
that sounds interesting	interesting sound karta hai
does the movie have a happy ending?	kya movie ki happy ending hai?
The film received moderately positive reviews, with critics praising Sandra Bullock's performance. It scored 69% and average; 6.1/10 on Rotten tomatoes	Movie ko moderately positive review mile the, critics ne Sandra Bullock ki performance praise ki thi. Rotten Tomatoes pe usne 69% aur average 6.1/10 score kiya
Yes, it has a very happy ending.	Haan, uski bahut happy ending hai
awesome	awesome
then i might watch it	fir main shayad isey dekhunga
did you see it when it was released?	kya jab ye release huyi tab tumne dekhi?
Sounds good. I think you would enjoy it very much. I know I did. I really like Sandra Bullock Movies	SOunds good. Mujhe lagta hai tum isey kafi enjoy karoge. Main janta hun maine kiya. Mujhe Sandra Bullock ki movies achi lagti hain.
I did see it when it was released.	Maine tab dekhi thi jab ye release huyi thi
Yeah, I loved her acting in Miss Congeniality	Han, mujhe Miss Congeniality mein uski acting achi lagi thi
Yes, one of my favorites. A lot of her older ones as well.	Han, wo meri favorites mein se ek hai. Uski bohat sari older ones bhi.
Do you have any other questions about the Movie	Kya is movie ke bare mein tumhare aur questions hain?
?	?
How long is the movie?	Movie kitni long hain?
It was pretty long, maybe a little over 2 hours.	ye pretty long tha, may be 2 hour se adhik
wow, thats a long movie	wow, ye to long movie he
It's one of those movies that you can rewatch over and over and not get tired of it.	ye un movies me se he jo app over and over watch karene ke bawajood bhi na tired ho.
It feels like Watching it for the first time, every time. 	everytime, esa feel hota he ki first time dekh rahe he.
oh so you have seen it more than once?	oh, to tumne ise more than once dekhi he?
Oh yes, a few times. 	are yes, YE HI KOI FEW TIMES
Hi there!	Hi there!
Hello	Hello
how are you doing?	Kaise chal raha hai?
I'm good and you?	Main accha hu and you?
doing fine. so what do you want know?	Doing fine. To, kya janna chahte ho tum?
Well we are talking about the movie Dunkirk it seems. I have never seen it but I have heard it is good. Have you seen it?	Well hum Dunkirk k baare me baat kar rahe the. Maine wo kabhi dekhi nahi but maine suna hai wo acchi hai, kya tumne dekhi hai?
Yes I have and I enjoyed it	Haan aur main enjoy kiya
That's good. Was the movie fast paced?	Accha hai. Kya movie fast paced thi?
In most moments yes.	Jyadatar moments me haan
Do you feel they relied too much on special effects though?	Kyu tumhe lagta hai wo special effects pe bahut jyada rely kiye ?
Not, it feels very real.	Nahi, wo kaafi real lagta hai
Who was your favorite character in the movie?	Movie me tumhara favorite character kaun tha?
I really liked Alex	Mujhe Alex bahut accha laga
Why is that?	Aisa kyu ?
He was a complex character. Not straight up good guy or bad guy.	Wo complex character tha. Bilkul good guy ya bad guy nahi tha
Do you feel the movie had a fitting ending or was it a cliffhanger?	Tumhe kya lagta hai movie ki fitting ending thi ya cliffhanger thi.
As an historical drama there was little chance for a cliffhanger. So it ended well.	Kyuki wo historical drama hai usme thoda chance tha cliffhanger ka. To wo acchi end hui
That's good. Do you feel that all the characters were well developed?	Accha. Kya tumhe lagta hai sabhi characters well developed the?
No. The "Gibson" character could have been better developed.	nahi. 'Gibson' character thoda aur develop kiya jaa sakta tha
What about casting choices? Were the actors all pretty decent for their character roles?	casting choices ke baare mein kya khayaal hai? kya wo sab actors kafi decent they unke character roles ke liye?
They were, with some surprises like Harry Styles making the cast.	han wo they, saath mein Harry Styles jaise ka cast mein hona surprise tha
Do you feel they were pretty accurate with the props and clothing for the time period portrayed  since it was a historical drama? 	Kya tumhe lagta hai ki props aur clothings kafi accurate they jo time period dikhaya gaya uske liye kyunki ye ek historical drama tha.
Yes. Not only in the military side, but also in regards to the characterization of civilian life.	Han, Na sirf military side par, lekin civilian life ke characterization ke hisaab se bhi
What was your favorite part of the whole movie?	tumhare liye movie ka sabse favorite part kya tha?
The scene where Tommy, Alex and Gibson hide inside a trawler.	Wo scene jisme Tommy, Alex aur Gibson trawler ke andar hide karte hain
okay	acha
are you interested in watching the film?	kya tum film dekhne mein interested ho?
Alex seems like a really cool character. Especially with all the realism described.	Alex kafi cool character lagta hai. Khaskar jis realism se usey describe kiya gaya hai.
so yes I am interested	Ha me interested hu
I wonder why there is a gap in the Rotton Tomatoes score and the Metacritic score for Wonder Woman	I wonder Rotten Tomatoes score aur Metacritic score me Wonder Woman k liye itna gap kyu hai
hello! that is very strange, maybe they have different audiences, did you originally see this as a war movie? I guess i personally separate war movies from super hero movies	hello! ye kaafi strange hai, maybe unki different audience hai, kya tumne originally ise war movie type se dekha? I guess personally main war movies aur super hero movies ko seperate karta hu.
I do that too, I think of them both as different genres, even though Wonder Woman was set during World War 1.	main bhi wahi karta hu. Main dono ko alag genre maanta hu , bhale hi Wonder Woman World War 1 k duaran set thi.
Yeah I could see them grouping it together, I just usually separate them, I enjoy the actors though, Gal Gadot and Chris Pine are great, how did you feel about their choices?	Haan, main unhen ek saath samoohabaddh karate hue dekh sakata tha, main aamataur par unhen alag karata hoon, main actors ka aanand leta hoon haalaanki, gal gadot aur chris pine mahaan hain, aapako unakee pasand ke baare mein kaisa laga?
I thought the casting was great, even though this was the first time I ever heard of Gal Gadot.	Mujhe laga ki kaasting bahut achchhee thee, haalaanki yah pahalee baar tha jab mainne gal gadot ke baare mein suna.
I was shocked though it was so well received with cirtics considering its a DC film haha, usually Marvel runs the place	Haalaanki main hairaan tha ki yah ek dc movie haaha ko dekhate hue sirtiks ke saath bahut achchhee tarah se praapt hua tha, aamataur par marvel jagah chalaata hai
I agree. I think one of the reasons it was well received was because Wonder Woman was trying to end the war, instead of contributing to a growing conflict.	Main sahamat hoon. mujhe lagata hai ki isaka ek kaaran yah tha ki ise achchhee tarah se praapt kiya gaya tha kyonki wonder woman badhate sangharsh mein yogadaan dene ke bajaay yuddh ko samaapt karane kee koshish kar rahee thee.
yeah, a lot of the marvel movies tend to just make up a conflict and then go with it instead of going off an existing one. I enjoyed it though, It is interesting the difference in opinions though, I don't know if I would see a second one 	Haan, bahut see marvel movies sirph ek sangharsh karane ke lie hotee hain aur phir ek maujooda band hone ke bajaay isake saath jaatee hain. mainne haalaanki isaka aanand liya, haalaanki yah raay mein antar dilachasp hai, mujhe nahin pata ki kya main ek doosare ko dekhoonga
I think if Patty Jenkins directs a sequel, it would be as good as the first one. She did a great job with this movie.	mujhe lagata hai ki agar patty jenkins ek seekval ka nirdeshan karatee hai, to yah pahale vaale kee tarah achchha hoga iss movie ke saath unhonne bahut achchha kaam kiya.
thats true, if they can keep the cast and crew together I think the chances of it being a hit increase. I believe thats more then 3 exchanges we've had about the movie now	Yah sach hai, agar ve kalaakaaron aur chaalak dal ko ek saath rakh sakate hain to mujhe lagata hai ki yah ek hit virddhi kee sambhaavana hai. mera maanana ​​hai ki 3 se adhik eksachenjon ke baad ab hamane movie ke baare mein socha hai
The document just updated for me. One of the things that caught my eye of the movie is how the time period was depicted, especially with how Princess Diana received a photographic plate whereas now we can take selfies. It is an interesting disconnect.	Dastaavez sirph mere lie apadet kiya gaya. movie kee meree nazar mein aane vaalee cheejon mein se ek yah hai ki samay avadhi ko kaise chitrit kiya gaya tha, khaasakar Princess Diana ko photographic plet kaise milee, jabaki ab ham selphee le sakate hain. yah ek dilachasp disconnect hai.
Oh mine just updated too, sorry about that. I think thats interesting and a good period for the film, I think the mythology involved behind it was very intriguing 	Oh mera bhee adyatan kiya gaya, is baare mein kshama karen. mujhe lagata hai ki movie kelie dilachasp aur ek achchhee avadhi hai, mujhe lagata hai ki isake peechhe shaamil pauraanik katha bahut pecheeda thee
I agree. Usually whenever Greek or Roman mythology is presented in a movie it is dense and opaque, but it was easily understood in Wonder Woman.	Main sahamat hoon. aamataur par jab bhee kisee philm mein greek ya roman pauraanik kathaon ko prastut kiya jaata hai to vah ghanee aur apaaradarshee hotee hai, lekin wonder woman mein yah aasaanee se samajh mein aa gaya.
Yeah introducing concepts like that can definitely be hard to follow sometimes depending on how they're presented. It's interesting that zues chose amazonian warriors to protect mankind	haan, is tarah kee avadhaaranaon ko pesh karana nishchit roop se kabhee-kabhee paalan karane ke lie kathin ho sakata hai ki ve kaise prastut karate hain. yah dilachasp hai ki zoo ne maanav jaati kee raksha ke lie amejan yoddhaon ko chuna
The way Ares was punished was also interesting, with only Zeus able to wound him in the battle.	jis tarah se eres ko dandit kiya gaya tha vah bhee dilachasp tha, keval zeus ne use ladaee mein ghaayal karane mein saksham kiya.
I liked that it was only them left, zues and ares had to fight to save mankind, it made it interesting with it being in a time period where the first time in history we had a world war	mujhe yah pasand aaya ki yah keval vaam, zeus aur eres ko maanav jaati ko bachaane ke lie ladana tha, isane ise us samay ke saath dilachasp bana diya jahaan itihaas mein pahalee baar hamane vishv yuddh kiya tha
I thought it was interesting that the American pilot crashed near south America, connecting World War 1 to the Amazonian setting was done very well in the film in my opinion.	mujhe laga ki yah dilachasp tha ki american chalak dakshin american ke paas durghatanaagrast ho gaya, pratham vishv yuddh ko amozon se jodakar meree raay mein philm mein bahut achchha kaam kiya gaya.
yeah it seems they did a very good job of having the plot points connect with real world situations, the island then being invaded by the germans looking to advance their warfare technology really gives you a sense of good side/bad side	haan, aisa lagata hai ki unhonne vaastavik duniya kee sthitiyon se jude kathaanak binduon ko jodane ka ek bahut achchha kaam kiya hai, is dveep par phir se jangalon dvaara aakraman kiya ja raha hai taaki unakee yuddh takaneek ko aage badhaaya ja sake aur aapako vaastav mein achchhe paksh / bure paksh ka ehasaas ho.
Especially with the Germans trying to engineer an even deadlier version of the chemical weapons they had, I think that ties very well into everyone's ingrained mortality. 	vishesh roop se germans ke paas raasaayanik hathiyaaron ke ek bhee ghaatak sanskaran ko injeeniyar karane kee koshish kar raha tha, mujhe lagata hai ki har kisee kee nirbaadh mrtyu dar mein bahut achchha sambandh ha
I also like that Hippolyta allowed her sister to train Diana, giving her the extra she needed to really stand out from the amazonian warriors 	mujhe yah bhee pasand hai ki hippolyta ne apanee bahan ko daayana ko prashikshit karane kee anumati dee thee, jisase use vah atirikt dene kee jaroorat thee jo vaastav mein amaajoniyan yoddhaon se baahar khade hone kee jaroorat thee
I felt that was a very feminist-inspired scene, which I really enjoyed seeing in the film. That was a big dynamic in how the World War was almost exclusively fought by men, with the sole woman wanting to end it.	mujhe laga ki yah ek bahut hee naareevaadee-prerit drshy tha, jise philm mein dekhakar mujhe bahut maja aaya. yah ek bada gatisheel tha ki kaise vishv yuddh lagabhag vishesh roop se purushon dvaara lada gaya tha, ekamaatr mahila jo ise samaapt karana chaahatee thee
that is a really interesting point that I haven't considered, I know that the film was widely proclaimed to give a voice to feminism but that point really solidifys that	yah vaastav mein ek dilachasp bindu hai jis par mainne vichaar nahin kiya hai, mujhe pata hai ki philm ko vyaapak roop se naareevaad ko ek aavaaj dene ke lie ghoshit kiya gaya tha lekin yah bindu vaastav mein thos hai
I really didnt except Sir Patrick to Ares, its an interesting dynamic that really came out. 	mujhe vaastav mein sar patrick se ares kee ummeed nahin thee, yah ek dilachasp gatisheel hai jo vaastav mein saamane aaya hai.
I thought the scene when Sir Patrick revealed himself as Ares also influenced that, where he wanted to use the Godkiller sword to destroy humanity, but Wonder Woman said no.	maine socha jis scene main Sir Patrick reveal kiya kyonki Ares ne bi influence kiya tha, jahan woh Godkiller sword ko use karke humanity ko destroy karna chatha tha, lekin Wonder woman ne no kah diya.
yeah I really didn't except wonder women to be the godkiller although it does make sense	yeah main really expect nahin kiya wonder woman hi godkiller thi although isme koi sense nahin hai
I think that was another big feminist point in the movie, in my opinion. The ending of the movie was very heartfelt and connected how wars of the past influence our present when Princess Diana emailed Bruce Wayne	i think woh ek bada feminist point hai movie hai, mere opinion hai.movie ka ending bahut heartfelt tha aur connect kiya ki kaise past wars hamare present ko influence karte hain princess diana ne email kiya bruce wayne ko
yeah, I think the dynamic between the all the characters fits really well, linking it all togheter, from diana and bruce, to diana and ares, and ares and zues	haan, mujhe lagta hai characters ki dynamics acchi fit karti hai, sabhi ko link karte hue, diana aur bruce se lekar, diana aur ares thak aur ares aur zues
The casting helped make the movie incredible, the charisma and chemistry between every character showed. The scene where Steve hijacked the bomber showed that very well I think.	casting ne help kia movie ko incredible banane ke liye, charisma aur chemistry ke andar character dikhta hai.jo scene jahan steve ne bomber ko hijack kiya acchi tarah dikhta hai.
Steve has a really inteseting role in the movie too, providing a lot of support but still not taking over the main role 	steve ka bhi accha interesting role hai movie mein, bahut support deta hai lekin phir bhi main role nahi leta
His character was an excellent supporting character in my opinion.	uska charcter excellent supporting charcter hai mere khayal se.
Hello, I'd love to know the name of the movie	hello, mujhe film ka naam jaanna atcha lagega.
Hello, the movie is Zootopia	Hello, film Zootopia hai.
It is described as a brilliantly well-rounded film that is funny smart and thought provoking	Yeh ek shandaar sampoorna vikasit film ke roop mein varnit hai jo ajeeb smart aur utejak hai.
I have not see zootopia but frozen yes	maine Zootopia nahin dekhee lekin Frozen, haan.
I don't have kids, but the will start coming soon :)	mare kids nahin hai, lekin jald hi aayenge :)
I would highly recommend you watch the film Zootopia because it received a Rotten Tomatoes rating of 98%	main tumhe recommend karta hoon Zootopia film watch karo kyonki Rotten Tomatoes main 98% rating mila
did you get access to the documents about the movie?	kya tumhe movie ke documents ki access mili?
oh wow 98% is good	oh wow 98% accha hai
Yes I did get access to documents about Zootopia	Yes mujhe Zootopia ke documents ki access mili
but the problem i have with these movies..they usually potray things that are from someone's imagination	lekin in movies se mujhe ye problem hai ...ki ye usually kisi ke  imagination ko potray karte hain
lucky you, i have to get all the information from you because it's obvious they let you access so that I can ask all the questions?	tum lucky ho, mujhe sare information tumse milta hai kyon ki wo tumhe access dete hain taki main sare questions poochon?
Any elements of LGBT freedom in it? because I realize most movies now a days potray LBGT  freedom	kuch LGBT freedom hai isme? kyon ki main realize kar raha hoon ki aaj kal LGBT freedom ko portray karte hain
oh thats good, seems to be well made and researched 	oh badhiya hai, lagta hai accha banaya hai aur acchi research ki gayi hai
Yes, indeed they do. But the positive aspect about the movie Zootopia, is that although it is all imaginary, the film carries a message of acceptance that is thought-provoking	Haa woh karte hain.Lekin Zootopia movie ki positive aspect hai ki although sab imaginary hai film ek acceptance message deti hai jo thought-provoking hai
music helps to keep the vibes real	music help karta hai vibes ko real rakhne mein
ok.nice chatting with u	Ok. tumse chatting karke accha laga
Yes, also the cast of the film includes Idris Elba, Ginnifer Goodwin	Yes, film ke cast mein Idris Elba, Ginnifer Goodwin bhi hai
Directions stated we talk for 20 min. I am supposed to convince you to watch the film	Directions mein bola hai hum 20 min. talk kare. mein tumko film dekhne ke liye convince karu
Hello.	HELLO
I liked The wolf of Wall Street,	MUJE THE WOLF OF WALL STREET PASAND HEIN
Does the wolf of wall street look like a good movie?	KYA THE WOLF OF WALL STREET ACHE MOVIE HEIN?
Of course, what if and to you?	OFCOURSE, AAPKO?
There are not so many movies about the topic "stockbroker" that I know of.	AUR BHI KAHI MOVIES JISKA TOPIC STOCKBROKER NAHI HEIN, MERA KHAYAL SE
there is almost no	ALMOST NO YAR
I can't quite understand why it rated so badly on Rotten Tomatoes.	MUJE SAMAJ NAHI KI, KYON ROTTEN TOMATOES NE ITNA BADLY RATED DIYA
How did Leonardo do it for you?	KAISE LEONARDO AISE KAR SAKTHE HEIN
With only 7.8/10 .	7.8/10 HI DIYA
I liked him as Jordan Belfort.	MUJE JORDAN BELFORT PASAND HEIN
excellent character	ACHE CHARACTER HEIN
Did you like the whole plot of the movie?	KYA AAPKO IS MOVIE MEIN WHOLE PLOT PASAND HEIN?
Sure, I enjoyed the plot.	SURE, MEIN THO PLOT KO ENJOY KAR RAHE THI
Do you think that what they did was wrong?	THO AAPKA KYA SOCH HEIN, KI KAHA VOH WRONG KAR SAKTHE?
Hmm, you mean the big scheme in the end?	HMM, END MEIN JO BIG SCHEME THA USSE AAP MEAN KARTE?
No, I guess that is just how the business runs.	nahi muje lagtha hein ki voh business chala raha hein
Jonah Hill as Donnie Azoff?	jonah hill tho donnie azoff ke hein
Do you remember that character?	aapko is character ko yaad hein
what good paper did	ache paper banaya hein
Yes. I liked that one too.	haan, muje pasand hein
It took the FBI quite a long time to get them.	fbi ko thoda time laga isse banane mein
It's interesting how people come up on Wall Street, would you like to be one of them?	quite interesting yar, kaise wall street mein people aathe, tho aapko konsa pasand hein?
It seems to me that Jordan's wife was just for the money she had	muje jordan's wife ko jab voh money ke liye thi
I guess that time has passed. Nowadays most of the trade is digital I guess.	muje lagtha, time tho chala gaya.. aajkal tho trade hi digital huva
So that part of the spirit of Wall Street is gone.	tho wallstreet gaya kya
Yes, he married the wrong wife.	YES, USNE EK GALATH LADKI SE SHAADI KIYA
Would you like a new version of the movie?	AAP IS MOVIE NAYA VERSION PASAND KARTHE HO?
Yes. A modern version would be interesting.	YES. EK MODERN VERSION BAHUTH ACHH HOGA
It might be a bit more like IT Crowd.	YEH EK IT CROWD JAISA HOGA
You add something more to the movie?	AAP MOVIE PAR KUCH AUR KAAM KAR SAKTHE HO
Metacritic Score: 75/100 I think it was very low and you?	METACRITIC SCORE :75/100 MUKHE LAGTHA HAI BAHUT KAM HAI AAP KA KYA KHYAAL HAI
In 1987 the country to go for money laundering is still Switzerland.	1987 JO DESH ME KAALE DHAN HAI VAH SWITZERLAND HAI
The critics rated it too low for my feeling.	MERE KHYAAL SE CRITIC RATING BAHUT KAM THA
Goodnight.	SHUBH RATHRI
I liked the movie	MUJHE MOVIE ACHHA LAGA
Hello!	Hello!
Hey!	Hey!
What movie are we talking about?	Aap log kis movie ki bat kar rahe hai?
How to Train Your Dragon.	Apne Dragon ko kaise Train kare.
Oh, I have not seen that. What is it about?	Oh, maine woh nahi dekha.What is it about?
Are you there?	Tu ho wahan?
The Movie is an animation based loosely on a British book series directed by Chris Sanders, with battles by dragons and coming of age.	Movie ek animation hai loosely based on a British book series jisko Chris Sanders ne direct kiya hai, with battles by dragons and coming of age.
What is the name of the main character?	main character ka naam kya hai ?
I'm not sure.	main sure nahi hun.
You should watch this movie because it's a thrilling action-adventure sage with exhilarating 3D movie!	Tumhe wo movie dekhni chahiye kyunki it's a thrilling action-adventure sage with exhilarating 3D !
Is it meant to be a children's movie or one for adults?	Wo movie bacchon ke liye hai ya adults ke liye ?
Its a children's movie.	Wo children's movie hai.
Do you know what age group? I may want to have my children see it.	kis age group ke liye ? I may want to have my children see it.
Starts off with a 15 year old son of the Village Chieftain and I would say anywhere from 7 and up.	Village Chieftain ke 15 year son ke saath shuru hoti hai mujhe lagta hai 7 saal se oopar.
Rated PG?	kya PG rated hai?
It has a rating of 7.9 and a 98% on Rotten Tomatoes!	uska rating 7,9 hai aur Rotten Tomatoes mein 98%
If you didn't know it came out in 2010.	agar tumhe pata nahin ki ye 2010 mein aaya tha.
Well then I guess we won't be seeing it in 3-D lol.	well mujhe lagta ki hum ise 3-d mein nahin dekh payenge lol.
Have you seen it?	kya tumne dekha hai use?
I have not seen it yet but it goes on to say that the Stock the Vast is a dragon killer and instead of killing a rare dragon he sets it free.	maine nahin dekha lekin vah kahta hai ki Stock the Vast ek dragon killer hai aur ek rare dragon ko marne ke bajaye usne use chod diya.
Interesting, what is the dragon's name?	Interesting, us dragon ka naam kya hai?
Hiccup another character goes to a forest where the dragon was originally stuck and gradually tames the dragon which is a Nigh Fury.	Hiccup ek aur character hai jo forest mein jata hai jahaan dragon originally stuck tha aur dhire dhire us  dragon ko tame karta hai jo ek Nigh Fury hai.
His name is toothless for his retractable teeth.	Uska naam toothless hai kyonki uske teeth retractable hai
That sounds cute. Maybe I can have my 5 year old see it.	sunne mein cute hai.sochta hoon apne 5 year bacche ko dikhaoon.
Absolutely Hiccup goes on to subdue a captive dragon in his final test, but does not harm it, Stoick on the other hand angers the dragon into attacking Hiccup!	Beshak Hiccup final test mein Captive Dragon ko subdue karne jaata hai lekin usey harm nahi karta, Stoick on other hand dragon ko angry kar deta hai jisse wo Hiccup par attack kare
Did you want to know more?	Kya tum aur janna chahte ho?
Do you usually watch animated movies?	kya tum usually animated movies dekhte ho?
I would love to know more. My children love animated films	Main aur janna chahunga, Mere children animated movies love karte haun
Toothless the dragon comes to protect Hiccup but ends up getting captured by the Vikings...	Tootless the dragon Hiccup ko protect karne aata hai lekin akhir mein Vikings se capture ho jaata hai
Stoick is Hiccups father and Hiccup ends up telling him by accident that  oothless knows where the dragons nest is and sets off with Toothless the dragon while disowning his son in the process.	Stoick Hiccups ka father hai aur Hiccup galti se usey bata deta ki ki Tootless ko pata hai drangons nest kahan hai aur wo tootless the ragon ke saath set off kar jata hai is process mein Hiccups ko disown karke
Toothless*	Toothless*
Do the humans end up living in harmony with the dragons?	Kya aakhir mein humans dragons ke sath jarmony se rehte hain?
The Vikings expel most of the dragons but attacked by the Red Death until Hiccup, Astrid fly in riding the dragons provide cover . Hiccup almost drowns trying to break Toothless free from a sinking ship but Stoick saves them both and then reconciles with his son.	Viking most of dragons ko expel kar dete hain lekin aur Red Death se attack ho jaate hain jab tak Astrid aur Hiccup dragons par cover provide nahi karte, Hiccup lagbhag drown kar jata hai Toothless ko free karne ki try mein ek sinking ship se but Sroick un dono ko save karta hai aur apne son ke saath reconcile karta hai
Toothless and Hiccup destroy the Red Death but he ends up getting hurt, giving him a prosthesis and the end up living in harmony!	Toothless aur hiccup Red Death ko destroy karte haun lekin wo last mein hurt ho jaata hai, usey prosthesis dekar aur akhir me wo harmony mein rehne lagte hain
That definitely sounds like something my five year old would like. What is the Red Death?	Lal death kya hai? ye mujhe hamesh lagata hai ki ye mere paach saal purana lagata hai
Red Death is another dragon who tries to take out the vikings.	lal death ek or dragon hai jo vikings ko bahar nikal ne ki koshish karta hai
But glad I could persuade you to watch the movie!	par mei bahut khush hui movie dekhane ke liye !
Thanks!	dhanyawad
Hello	HELLO
 Hi 	HI
 Looks like we got monsters University 	LAGTHA HEIN KI HAMME MONSTERS UNIVERSITY MILA HEIN
Ok	OK
 I’ve never seen it 	MEIN KABHI DEKHA NAHI HEIN
Me either	MEIN BHI
I had picked the shape of water	MIEN SHAPE OF WATER KO PICKED KIYA
  I had home alone	MEIN HOME ALONE KO
Lol	LOL
I've seen that at least	MEIN ATLEAST DEKHA HOON
 It looks like Billy Crystal in the movie 	IS MOVIE MEIN BILLY CRYSTAL HEY
Ok	ACHA
 It’s seem to do OK on rotten tomatoes I got a 79% 	ROTTEN TOMATOES THO 79% DIYA, JO OK HEI
Yeah no kids so not great with kids movies	HAAN, KIDS THO NAHI HEY IS KIDS MOVIE MEIN
That's pretty good	PRETTY GOOD
 That’s OK I’ve got a bunch information from We  can figure it out 	ISKE BAARE MEIN , MUJE KAAFI INFORMATION MILA HEIN
4 stars on umdb too	umdb par bhi 4 stars
imdb	imdb
 Oh John Goodman‘s in this too and kind of suprised Steven buscemi  is in this 	Oh John Goodman bhi isme hai aur thoda surprise ki Steven buscemi isme hai
That's a good cast	ye good cast hai
He normally plays really creepy bad  guys	wo normally kafi creepy bad guys play karta hai
Haha totally	Haha bilkul
 Looks like monster Hunter has something like fraternity or sorority games called scary games 	lagta hai monster Hunter mein kuch raternity or sorority games scary games ke jaisa hai
 Oops monsters University I’ve been playing monster Hunter sorry 	Oops monsters University main monster Hunter khel raha tha
 Maybe it’s to teach kids to challenge themselves 	shayad ye kids ko sikhane ke liye hai khud ko challenge karne ke liye
Oops did I lose you	oops maine tumhe lose kar diya
hey partner	hey partner
hey partner	hey partner
hey	hey
I like the movie, about about you?	mujhe movie pasand aayi, aapke baare me kya?
Hi  What's up?	Hi Kya chal raha hai
I only see that you have entered the room.  Are we chatting?	Maine bas dekha ki tum room mein enter kar chuke ho. Kya hum chat kar rahe hain?
Are you there?	Are you there?
Yes, sorry	Han, sorry
Have you seen Monsters University?	Kya tumne Monsters University dekhi hai
Was almost ready to give up.	main bas give up karne hi wala tha
I was reading the directions	Main directions read kar raha tha
No is that a Pixar movie?	Nahi kya ye Pixar movie hai?
Yes it's a Pixar movie from 2013	Han Pixar movie hai 2013 ki
okay and was it fun?	okay aur kya ye fun thi?
Yes, it is a prequel for the Monsters Inc movie from 2001. It stars John Goodman and Billy Crystal as the main characters.	Yes, wo 2001 ki Monsters Inc movie ka prequel hai. Isme John Goodman aur Billy Crystal main characters hain.
All I can see is what you write	jo tum likhte ho is all I can see
oh two good actors   what happens in it?	oh do acche actors what happens in it?
It's about the main characters, Mike and Silley. They are going on a school field trip.	Ye main characters Mike aur Silley ke baare mein hai . Wo dono ek school field trip par jaa rahe hain.
I take it that it's their voices	I take it ki ye unki voices hain
Yes, they play the main characters. It's a computer animated movbie.	Yes, wo main characters play kar rahe hain. Ye ek computer animated movbie.
And in a bus?	Aur ek bus mein?
what kind of antics do they do?	Kis tarah ka antics do they do ?
Mike goes on a field trip to Monsters Inc on a school trip and decides he wants to be a scarer when he grows up. He goes to Monsters University when he grows up and meets Sulley.	Mike  Monsters Inc mein jaata hai on a school trip aur decide karta hai ki usko bade hokar scarer  banna hai. Wo bada hokar Monsters University mein jaata hai and meets Sulley.
I think my screen has a delay and doesn't move very quickly	Mujhe lagta hai my screen has a delay and doesn't move very quickly
I have to read the info they are providing and then tell you information about it, so it takes a few seconds for me to write	muje padna padega puri information jo wo de rhe hai aur tab btaunga iske liye kuch seconds lagenge muje likhne mai
a scarey?	darawani?
Okay so it's not me then?	ha to wo mai nhi hu phir?
a scarer. Basically they harvest energy from scaring children at night.	darawani wo energy dare hue bachi se lete hai raat mai
No it's not you	nhi wo tum nhi ho
oic  monsters under th bed kind of?	rakshas jaisa kuch palang ke niche?
So they join a fraternity on campus and try to enter the Scare Games, kind of like Hunger Games I guess.	to wo campus mai ghusne ki kosis kerte hai Scare khel ko join kerne ke liye jaisa ki Hanger khel mai hai, shayad
Yes, like that, or in a closet.	ho isse tra aur pass mai
okay I get the idea	ha muje idea mil gaya
They have a hard time during the Scare Games and get disqualified.	unka wo kafi khatin samay tha Scare khel mai aur wo disqualified hogye
I'm sorry if this is not making sense. The plot seems a little ridiculous, lol	I' m sorry agar ye sense nahi make kar raha. plot ridiculous lag raha hai, lol
what?  they don't know how to scare?	kya? unhe pata nahi tha scare kaise karein?
I haven't seen it so lllll	maine isey nahi dekha so lllll
So, when they enter the Scare Games, one of them cheated, so they get disqualified. Sulley was the one who cheated. 	To, jab wo Scare Games mein enter karte hain, unme se ek cheat karta hai, to wo disqualify ho jate hain. Sully tha jisne cheat kiya
I never go see this type of movie now that I don't have kids to go with me.	main is type ki movie dekhne ke liye kabhi nahi jaata kyunki ab mere sath koi kids nahi hain sath jane ke liye
They go to "college" to learn the best strategies to scare.	wo "college" jaate hain scare karne ki best strategies learn karne ke liye.
now that is funny!	now ye funny hai!
